	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	M	b	f
B5.R2.b6.f7.g1.p1.u3.y1	6,69E-01	0,373758369	0,5886507	0,12673656	-0,13919993	-0,14652625	-1,1907675	2,2560305	M0	b6	f7
M4.B5.R2.b6.f7.g1.p1.u3.y1	8,72E-01	0,129354916	0,6031219	0,11005233	-0,15284584	-0,16089036	-1,2477692	1,6526222	M4	b6	f7
R2.f8.g1.p1.u3.y1	2,23E+00	3,78E-01	0,662475	0,18555655	-0,2561089	-0,26958832	-1,6151757	3,3716807	M0	b0	f8
M4.R2.f8.g1.p1.u3.y1	2,47E+00	1,02E-01	0,6640061	0,15558308	-0,27475786	-0,2892188	-1,6729483	2,8624626	M4	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,30E+00	2,19E+00	0,8495808	0,57231981	-0,37909146	-0,39904364	-1,9650764	5,1131656	M0	b1	f8
M4.B1.R2.b1.f8.g1.p1.u3.y1	2,34E+00	1,82E+00	0,8296106	0,49536172	-0,37021282	-0,3896977	-1,9419282	4,9548625	M4	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,38E+00	5,19E-01	0,415712	0,10913619	-0,08928523	-0,09398446	-0,9536681	3,0971952	M0	b2	f8
M4.B2.R2.b2.f8.g1.p1.u3.y1	1,65E+00	2,41E-01	0,4572406	0,10253088	-0,11481563	-0,12085856	-1,0814538	2,5749932	M4	b2	f8
B4.R2.b5.f8.g1.p1.u3.y1	9,06E-01	2,90E-01	0,4557642	0,09478697	-0,09300732	-0,09790244	-0,9733432	2,1404239	M0	b5	f8
M4.B4.R2.b5.f8.g1.p1.u3.y1	1,26E+00	3,47E-02	0,4886449	0,0860216	-0,11607205	-0,12218111	-1,0873548	1,5488202	M4	b5	f8
B5.R2.b6.f8.g1.p1.u3.y1	1,12E+00	4,33E-01	0,4654613	0,111128	-0,10248514	-0,10787909	-1,0217341	2,717935	M0	b6	f8
M4.B5.R2.b6.f8.g1.p1.u3.y1	1,40E+00	1,63E-01	0,4835349	0,09774783	-0,1183345	-0,12456263	-1,0979009	2,1081793	M4	b6	f8
R2.f9.g1.p1.u3.y1	2,32E+00	3,14E-02	0,841587	0,17244396	-0,37542123	-0,39518024	-1,9555407	2,4994367	M0	b0	f9
M4.R2.f9.g1.p1.u3.y1	2,56E+00	3,20E-01	0,8434686	0,14195643	-0,40008063	-0,4211375	-2,0187438	2,0522013	M4	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,53E+00	1,21E+00	0,8802481	0,43242528	-0,42079523	-0,44294235	-2,0703456	4,6476131	M0	b1	f9
M4.B1.R2.b1.f9.g1.p1.u3.y1	2,60E+00	8,80E-01	0,8637334	0,36500062	-0,4173659	-0,43933253	-2,0618921	4,3746994	M4	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,16E+00	2,30E-01	0,5801832	0,12031769	-0,15389163	-0,16199118	-1,2520306	2,241427	M0	b2	f9
M4.B2.R2.b2.f9.g1.p1.u3.y1	1,46E+00	2,21E-02	0,619977	0,10744365	-0,18642793	-0,19623993	-1,3780435	1,6836272	M4	b2	f9
B4.R2.b5.f9.g1.p1.u3.y1	3,46E-01	6,44E-02	0,5970552	0,09517251	-0,13187284	-0,13881352	-1,1590045	0,9890382	M0	b5	f9
M4.B4.R2.b5.f9.g1.p1.u3.y1	6,44E-01	1,77E-01	0,6173663	0,08199682	-0,15042584	-0,15834298	-1,2378518	0,9187741	M4	b5	f9
B5.R2.b6.f9.g1.p1.u3.y1	9,15E-01	1,17E-01	0,6239089	0,11349849	-0,16388086	-0,17250617	-1,2920269	1,6679269	M0	b6	f9
M4.B5.R2.b6.f9.g1.p1.u3.y1	1,16E+00	1,22E-01	0,6456812	0,09742581	-0,18508745	-0,19482889	-1,3730803	1,0455575	M4	b6	f9

