	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
B4.R2.b5.f5.g1.p1.u3.y1	0,23711963	2,21E-02	0,6611906	1,00E-01	-0,15376163	-0,16185435	-1,2515017	8,64E-01	b5	f5
B5.R2.b6.f5.g1.p1.u3.y1	0,81728909	6,94E-02	0,7014267	1,21E-01	-0,19527273	-0,20555024	-1,4103544	1,42E+00	b6  	f5
B6.R2.b7.f5.g1.p1.u3.y1	0,43477007	7,71E-02	0,6690268	1,10E-01	-0,16441315	-0,17306648	-1,2941235	1,13E+00	b7	f5
R2.f6.g1.p1.u3.y1	1,88505971	1,30E-02	0,8612027	1,66E-01	-0,34852727	-0,36687081	-1,8841949	2,13E+00	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,40726795	1,22E+00	0,9037319	4,36E-01	-0,42236231	-0,44459191	-2,0741971	4,60E+00	b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	0,78268545	2,30E-01	0,5588823	1,09E-01	-0,13060003	-0,13747372	-1,1533977	1,97E+00	b2	f6
B3.R2.b3.f6.g1.p1.u3.y1	0,81177656	7,64E-02	0,6890669	1,19E-01	-0,18928111	-0,19924328	-1,3885486	1,42E+00	b3	f6
B7.R2.b4.f6.g1.p1.u3.y1	0,83749479	1,00E-01	0,7404511	1,32E-01	-0,21462047	-0,22591628	-1,4785738	1,52E+00	b4	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,07717006	4,42E-02	0,6840824	1,03E-01	-0,15717647	-0,16544892	-1,2653225	9,14E-01	b5	f6
B5.R2.b6.f6.g1.p1.u3.y1	0,71068497	9,00E-02	0,7047869	1,22E-01	-0,19185079	-0,2019482	-1,3979423	1,40E+00	b6	f6
B6.R2.b7.f6.g1.p1.u3.y1	0,31722683	9,74E-02	0,683646	1,12E-01	-0,16597746	-0,17471311	-1,3002654	1,12E+00	b7	f6
R2.f7.g1.p1.u3.y1	1,82259471	3,15E-01	0,7908717	1,99E-01	-0,3030828	-0,31903452	-1,7570661	2,92E+00	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,28889943	1,70E+00	0,8701148	4,96E-01	-0,39023915	-0,41077806	-1,9937599	4,87E+00	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	0,85101273	5,02E-01	0,4775482	1,15E-01	-0,09993041	-0,10518991	-1,008919	2,70E+00	b2	f7
B3.R2.b3.f7.g1.p1.u3.y1	0,6755077	3,98E-01	0,6101395	1,34E-01	-0,14850395	-0,15631995	-1,2299188	2,33E+00	b3	f7
B7.R2.b4.f7.g1.p1.u3.y1	0,73334064	4,04E-01	0,6158205	1,37E-01	-0,15310905	-0,16116743	-1,2488431	2,37E+00	b4	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,09833313	3,06E-01	0,5526039	1,04E-01	-0,10811525	-0,11380552	-1,0494238	1,65E+00	b5	f7
B5.R2.b6.f7.g1.p1.u3.y1	0,66930054	3,74E-01	0,5886507	1,27E-01	-0,13919993	-0,14652625	-1,1907675	2,26E+00	b6	f7
B6.R2.b7.f7.g1.p1.u3.y1	0,32226527	3,70E-01	0,5615395	1,15E-01	-0,11747799	-0,12366104	-1,0939203	2,01E+00	b7	f7

