	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	s	b	f
B2.R2.b2.f3.g1.p1.u3.y1	0,91870312	5,67E-01	0,4518729	1,14E-01	-0,0918569	-0,09669147	-0,9673048	2,90E+00	s0	b2	f3
B2.R2.b2.f3.g1.p1.s1.u3.y1	1,76942665	1,04E-01	0,5042093	8,44E-02	-0,14150607	-0,14895376	-1,2005907	1,60E+00	s1	b2	f3
B4.R2.b5.f3.g1.p1.u3.y1	0,19063896	3,71E-01	0,5093816	1,02E-01	-0,09524946	-0,10026259	-0,9850056	1,90E+00	s0	b5	f3
B4.R2.b5.f3.g1.p1.s1.u3.y1	1,04617374	2,39E-01	0,4994246	6,65E-02	-0,11416911	-0,12017801	-1,0784047	8,46E-01	s1	b5	f3
B6.R2.b7.f3.g1.p1.u3.y1	0,39841709	4,34E-01	0,5160177	1,11E-01	-0,102654	-0,10805684	-1,0225755	2,22E+00	s0	b7	f3
B6.R2.b7.f3.g1.p1.s1.u3.y1	1,2012997	1,86E-01	0,5052248	7,19E-02	-0,1214965	-0,12789105	-1,1124726	8,41E-01	s1	b7	f3
R2.f6.g1.p1.u3.y1	1,88505971	1,30E-02	0,8612027	1,66E-01	-0,34852727	-0,36687081	-1,8841949	2,13E+00	s0	b0	f6
R2.f6.g1.p1.s1.u3.y1	2,04330876	4,05E-01	0,778182	1,10E-01	-0,31289113	-0,32935908	-1,7852707	1,36E+00	s1	b0	f6
B1.R2.b1.f6.g1.p1.u3.y1	2,40726795	1,22E+00	0,9037319	4,36E-01	-0,42236231	-0,44459191	-2,0741971	4,60E+00	s0	b1	f6
B1.R2.b1.f6.g1.p1.s1.u3.y1	2,55507793	4,20E-01	0,8004541	2,51E-01	-0,37227213	-0,3918654	-1,9473217	3,69E+00	s1	 b1	f6
B2.R2.b2.f6.g1.p1.u3.y1	0,78268545	2,30E-01	0,5588823	1,09E-01	-0,13060003	-0,13747372	-1,1533977	1,97E+00	s0	b2	f6
B2.R2.b2.f6.g1.p1.s1.u3.y1	1,42790863	3,25E-01	0,50481	6,66E-02	-0,12898557	-0,13577428	-1,1462465	9,28E-01	s1	b2	f6
B4.R2.b5.f6.g1.p1.u3.y1	0,07717006	4,42E-02	0,6840824	1,03E-01	-0,15717647	-0,16544892	-1,2653225	9,14E-01	s0	b5	f6
B4.R2.b5.f6.g1.p1.s1.u3.y1	0,64510077	5,16E-01	0,5331445	5,48E-02	-0,11587778	-0,12197661	-1,0864445	2,32E+00	s1	b5	f6
B6.R2.b7.f6.g1.p1.u3.y1	0,31722683	9,74E-02	0,683646	1,12E-01	-0,16597746	-0,17471311	-1,3002654	1,12E+00	 s0	b7	f6
B6.R2.b7.f6.g1.p1.s1.u3.y1	0,85743538	4,50E-01	0,5481551	6,08E-02	-0,12857856	-0,13534585	-1,1444366	1,77E+00	s1	b7	f6
R2.f7.g1.p1.u3.y1	1,82259471	3,15E-01	0,7908717	1,99E-01	-0,3030828	-0,31903452	-1,7570661	2,92E+00	s0	b0	f7
R2.f7.g1.p1.s1.u3.y1	2,03546001	7,73E-02	0,7201048	1,32E-01	-0,2774217	-0,29202284	-1,6810385	2,06E+00	s1	b0	f7
B1.R2.b1.f7.g1.p1.u3.y1	2,28889943	1,70E+00	0,8701148	4,96E-01	-0,39023915	-0,41077806	-1,9937599	4,87E+00	s0	b1	f7
B1.R2.b1.f7.g1.p1.s1.u3.y1	2,59505086	6,56E-01	0,7838186	2,88E-01	-0,36523872	-0,38446181	-1,9288384	4,10E+00	s1	b1	f7
B2.R2.b2.f7.g1.p1.u3.y1	0,85101273	5,02E-01	0,4775482	1,15E-01	-0,09993041	-0,10518991	-1,008919	2,70E+00	s0	b2  	f7
B2.R2.b2.f7.g1.p1.s1.u3.y1	1,6794067	1,38E-01	0,5090127	8,14E-02	-0,14033368	-0,14771966	-1,1956069	1,42E+00	s1	b2	f7
B4.R2.b5.f7.g1.p1.u3.y1	0,09833313	3,06E-01	0,5526039	1,04E-01	-0,10811525	-0,11380552	-1,0494238	1,65E+00	s0	b5	f7
B4.R2.b5.f7.g1.p1.s1.u3.y1	0,91809752	2,82E-01	0,5104811	6,45E-02	-0,11487416	-0,12092017	-1,0817294	1,02E+00	s1	b5	f7
B6.R2.b7.f7.g1.p1.u3.y1	0,32226527	3,70E-01	0,5615395	1,15E-01	-0,11747799	-0,12366104	-1,0939203	2,01E+00	s0	b7	f7
B6.R2.b7.f7.g1.p1.s1.u3.y1	1,09014084	2,25E-01	0,5203048	7,06E-02	-0,12438867	-0,13093544	-1,1256357	8,43E-01	s1	b7	f7
R2.f8.g1.p1.u3.y1	2,22759462	3,78E-01	0,662475	1,86E-01	-0,2561089	-0,26958832	-1,6151757	3,37E+00	s0	b0	f8
R2.f8.g1.p1.s1.u3.y1	2,40302842	3,27E-02	0,625999	1,27E-01	-0,24546615	-0,25838542	-1,5812599	2,45E+00	s1	b0	f8
B1.R2.b1.f8.g1.p1.u3.y1	2,30325628	2,19E+00	0,8495808	5,72E-01	-0,37909146	-0,39904364	-1,9650764	5,11E+00	s0	b1	f8
B1.R2.b1.f8.g1.p1.s1.u3.y1	2,68418594	8,99E-01	0,7777671	3,34E-01	-0,36995052	-0,3894216	-1,9412402	4,44E+00	s1	b1	f8
B2.R2.b2.f8.g1.p1.u3.y1	1,38478627	5,19E-01	0,415712	1,09E-01	-0,08928523	-0,09398446	-0,9536681	3,10E+00	s0	b2	f8
B2.R2.b2.f8.g1.p1.s1.u3.y1	2,16683143	1,54E-01	0,4877254	8,33E-02	-0,14949634	-0,15736457	-1,2340215	1,78E+00	s1	b2	f8
B4.R2.b5.f8.g1.p1.u3.y1	0,90569869	2,90E-01	0,4557642	9,48E-02	-0,09300732	-0,09790244	-0,9733432	2,14E+00	s0	b5	f8
B4.R2.b5.f8.g1.p1.s1.u3.y1	1,68345771	3,36E-01	0,4932779	0,06719906	-0,13280814	-0,13979804	-1,1631073	1,09E+00	s1	b5	f8
B6.R2.b7.f8.g1.p1.u3.y1	1,05593076	3,35E-01	0,4371956	0,09609399	-0,08961792	-0,09433465	-0,9554432	2,40E+00	s0	b7	f8
B6.R2.b7.f8.g1.p1.s1.u3.y1	1,78057551	2,87E-01	0,479724	0,06882506	-0,12981916	-0,13665175	-1,1499444	1,18E+00	s1	b7	f8
R2.f9.g1.p1.u3.y1	2,3164131	3,14E-02	0,841587	0,17244396	-0,37542123	-0,39518024	-1,9555407	2,50E+00	s0	b0	f9
R2.f9.g1.p1.s1.u3.y1	2,41653878	4,42E-01	0,7666054	0,11349684	-0,33735762	-0,35511328	-1,8537566	1,53E+00	s1	b0	f9
B1.R2.b1.f9.g1.p1.u3.y1	2,53123883	1,21E+00	0,8802481	0,43242528	-0,42079523	-0,44294235	-2,0703456	4,65E+00	s0	b1	f9
B1.R2.b1.f9.g1.p1.s1.u3.y1	2,72478424	3,91E-01	0,7884386	0,25051597	-0,38122737	-0,40129197	-1,9706046	3,76E+00	s1	b1	f9
B2.R2.b2.f9.g1.p1.u3.y1	1,16341181	2,30E-01	0,5801832	0,12031769	-0,15389163	-0,16199118	-1,2520306	2,24E+00	s0	b2	f9
B2.R2.b2.f9.g1.p1.s1.u3.y1	2,0585177	4,91E-01	0,6781549	0,08977421	-0,25389095	-0,26725363	-1,6081667	1,40E+00	s1	b2	f9
B4.R2.b5.f9.g1.p1.u3.y1	0,34597859	6,44E-02	0,5970552	0,09517251	-0,13187284	-0,13881352	-1,1590045	9,89E-01	s0	b5	f9
B4.R2.b5.f9.g1.p1.s1.u3.y1	0,95581477	5,26E-01	0,5321399	0,05682792	-0,1250505	-0,1316321	-1,1286263	2,02E+00	s1	b5	f9
B6.R2.b7.f9.g1.p1.u3.y1	0,60768007	1,02E-01	0,5625267	0,09619447	-0,12643547	-0,13308997	-1,134859	1,34E+00	s0	b7	f9
B6.R2.b7.f9.g1.p1.s1.u3.y1	1,22490711	4,85E-01	0,4859408	0,05538164	-0,1139346	-0,11993116	-1,0772965	1,58E+00	s1	b7	f9

