	Intercept	Slope	ICerror	SLerror	r.squared	adj.r.squared	RMSD	MAD	b	f
B4.R2.b5.f16.g1.p1.u3.y1	1,9497739	0,55750261	0,8963941	0,4057702	-0,4687522	-0,50481	-1,6203442	3,038993	b5	f16
B5.R2.b6.f16.g1.p1.u3.y1	2,5264666	0,55313166	0,9073036	0,46909678	-0,5608514	-0,6009123	-1,7738065	3,4598157	b6	f16 
R2.f17.g1.p1.u3.y1	3,353565	0,08140749	0,7848938	0,37868167	-0,6319082	-0,6770445	-1,8828222	3,4885889	b0	f17
B1.R2.b1.f17.g1.p1.u3.y1	3,371981	1,96810047	0,9182081	1,28358336	-0,7236269	-0,7753146	-2,0148359	4,5491048	b1	f17
B2.R2.b2.f17.g1.p1.u3.y1	2,6933636	0,71440203	0,7666513	0,45033664	-0,4913531	-0,5264497	-1,6602716	3,7158951	b2	f17
B4.R2.b5.f17.g1.p1.u3.y1	2,1137393	0,55012219	0,9274979	0,42192488	-0,5091324	-0,545499	-1,6900428	3,1902851	b5	f17
B5.R2.b6.f17.g1.p1.u3.y1	2,5290765	0,54924675	0,9069889	0,4681457	-0,5610854	-0,6011629	-1,7741764	3,457269	b6	f17
R2.f18.g1.p1.u3.y1	3,3571243	0,08019739	0,7847659	0,37880116	-0,6325756	-0,6777595	-1,8838162	3,4900259	b0	f18
B1.R2.b1.f18.g1.p1.u3.y1	3,3763036	1,96309901	0,918056	1,2839435	-0,724413	-0,7761568	-2,0159299	4,5495541	b1	f18
B2.R2.b2.f18.g1.p1.u3.y1	2,6986089	0,71327985	0,7668385	0,45096649	-0,492379	-0,5275489	-1,662004	3,7180192	b2	f18
B4.R2.b5.f18.g1.p1.u3.y1	2,1225	0,54805216	0,9274825	0,4224348	-0,510404	-0,5468614	-1,6921519	3,1933275	b5	f18
